customer_id,customer_name,contact_name,address,city,postal_code,country
1,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany
2,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitucion 2222,Mexico D.F.,05021,Mexico
3,Antonio Moreno Taquera,Antonio Moreno,Mataderos 2312,Mexico D.F.,05023,Mexico
4,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK
5,Berglunds snabbkoep,Christina Berglund,Berguvsvegen 8,Lulea,S-958 22,Sweden
6,Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany
7,Blondel pere et fils,Frederique Citeaux,"24, place Kleber",Strasbourg,67000,France
8,Bolido Comidas preparadas,Martin Sommer,"C/ Araquil, 67",Madrid,28023,Spain
9,Bon app,Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
11,Bs Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK
12,Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina
13,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,Mexico D.F.,05022,Mexico
14,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland
15,Comercio Mineiro,Pedro Afonso,"Av. dos Lusiadas, 23",Sao Paulo,05432-043,Brazil
16,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery ,London,WX1 6LT,UK
17,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany
18,Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France
19,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK
20,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria
21,Familia Arquibaldo,Aria Cruz,"Rua Oros, 92",Sao Paulo,05442-030,Brazil
22,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,"C/ Moralzarzal, 86",Madrid,28034,Spain
23,Folies gourmandes,Martine Rance,"184, chaussee de Tournai",Lille,59000,France
24,Folk och fe HB,Maria Larsson,Akergatan 24,Brecke,S-844 67,Sweden
25,Frankenversand,Peter Franken,Berliner Platz 43,Munchen,80805,Germany
26,France restauration,Carine Schmitt,"54, rue Royale",Nantes,44000,France
27,Franchi S.p.A.,Paolo Accorti,Via Monte Bianco 34,Torino,10100,Italy
28,Furia Bacalhau e Frutos do Mar,Lino Rodriguez ,Jardim das rosas n. 32,Lisboa,1675,Portugal
29,Galeria del gastronomo,Eduardo Saavedra,"Rambla de Cataluna, 23",Barcelona,08022,Spain
30,Wolski,Zbyszek,ul. Filtrowa 68,Walla,01-012,Poland
