order_id,customer_id,order_date
10248,90,2021-07-04
10249,81,2021-07-05
10250,34,2021-07-08
10251,84,2021-07-08
10252,76,2021-07-09
10253,34,2021-07-10
10254,14,2021-07-11
10255,68,2021-07-12
10256,88,2021-07-15
10257,35,2021-07-16
10258,20,2021-07-17
10259,13,2021-07-18
10260,55,2021-07-19
10261,61,2021-07-19
10262,65,2021-07-22
10263,20,2021-07-23
10264,24,2021-07-24
10265,7,2021-07-25
10266,87,2021-07-26
10267,25,2021-07-29
10268,33,2021-07-30
10269,89,2021-07-31
10270,87,2021-08-01
10271,75,2021-08-01
10272,65,2021-08-02
10273,63,2021-08-05
10274,85,2021-08-06
10275,49,2021-08-07
10276,80,2021-08-08
10277,52,2021-08-09
10278,5,2021-08-12
